t5base: 
Evaluation results of: BD Scene 1: {'rouge_score_': {'rouge1_fmeasure': tensor(0.1368), 'rouge1_precision': tensor(0.2121), 'rouge1_recall': tensor(0.1308), 'rougeL_fmeasure': tensor(0.1360), 'rougeL_precision': tensor(0.2112), 'rougeL_recall': tensor(0.1301)}, 'bertscore_': {'precision': 0.7970112571505462, 'recall': 0.7139221777315854, 'f1': 0.7501354370798383, 'hashcode': 'microsoft/deberta-base_L9_no-idf_version=0.3.12(hug_trans=4.42.3)'}}

Evaluation results of: BD Scene 2: {'rouge_score_': {'rouge1_fmeasure': tensor(0.1169), 'rouge1_precision': tensor(0.2051), 'rouge1_recall': tensor(0.1092), 'rougeL_fmeasure': tensor(0.1158), 'rougeL_precision': tensor(0.2040), 'rougeL_recall': tensor(0.1080)}, 'bertscore_': {'precision': 0.7574198984637343, 'recall': 0.6635310865039455, 'f1': 0.7035681895654777, 'hashcode': 'microsoft/deberta-base_L9_no-idf_version=0.3.12(hug_trans=4.42.3)'}}

Evaluation results of: HC Scene 1: {'rouge_score_': {'rouge1_fmeasure': tensor(0.1600), 'rouge1_precision': tensor(0.2384), 'rouge1_recall': tensor(0.1466), 'rougeL_fmeasure': tensor(0.1594), 'rougeL_precision': tensor(0.2376), 'rougeL_recall': tensor(0.1460)}, 'bertscore_': {'precision': 0.8097000698710597, 'recall': 0.7273316955150559, 'f1': 0.7638572264549344, 'hashcode': 'microsoft/deberta-base_L9_no-idf_version=0.3.12(hug_trans=4.42.3)'}}

Evaluation results of: HC Scene 2: {'rouge_score_': {'rouge1_fmeasure': tensor(0.1241), 'rouge1_precision': tensor(0.2069), 'rouge1_recall': tensor(0.1166), 'rougeL_fmeasure': tensor(0.1196), 'rougeL_precision': tensor(0.2009), 'rougeL_recall': tensor(0.1127)}, 'bertscore_': {'precision': 0.752932708406653, 'recall': 0.6702205932703141, 'f1': 0.7054806538405848, 'hashcode': 'microsoft/deberta-base_L9_no-idf_version=0.3.12(hug_trans=4.42.3)'}}

Evaluation results of: SZ Scene 1: {'rouge_score_': {'rouge1_fmeasure': tensor(0.1289), 'rouge1_precision': tensor(0.2395), 'rouge1_recall': tensor(0.1171), 'rougeL_fmeasure': tensor(0.1282), 'rougeL_precision': tensor(0.2386), 'rougeL_recall': tensor(0.1164)}, 'bertscore_': {'precision': 0.783874446486539, 'recall': 0.7011101085375598, 'f1': 0.7364428861344114, 'hashcode': 'microsoft/deberta-base_L9_no-idf_version=0.3.12(hug_trans=4.42.3)'}}

Evaluation results of: SZ Scene 2: {'rouge_score_': {'rouge1_fmeasure': tensor(0.1263), 'rouge1_precision': tensor(0.2228), 'rouge1_recall': tensor(0.1183), 'rougeL_fmeasure': tensor(0.1240), 'rougeL_precision': tensor(0.2204), 'rougeL_recall': tensor(0.1159)}, 'bertscore_': {'precision': 0.7492008231998829, 'recall': 0.6716032984551419, 'f1': 0.7046781883480844, 'hashcode': 'microsoft/deberta-base_L9_no-idf_version=0.3.12(hug_trans=4.42.3)'}}


